current_date_time,pipeline_generator,pipeline_processors,pipeline_evaluator,text_or_image,runs,human_human,ai_ai,ai_human,human_ai
2024-01-08 06:32:59,dallE_generator_image,naive_processor_image,umm_maybe_evaluator_image,image,30,11,10,0,9
2024-01-08 06:35:39,dallE_generator_image,naive_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-08 06:36:49,dallE_generator_image,naive_processor_image,nahrawy_evaluator_image,image,30,3,13,14,0
2024-01-08 06:38:31,dallE_generator_image,poisson_processor_image,umm_maybe_evaluator_image,image,30,13,10,0,7
2024-01-08 06:40:45,dallE_generator_image,poisson_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-08 06:41:52,dallE_generator_image,poisson_processor_image,nahrawy_evaluator_image,image,30,3,19,8,0
2024-01-08 06:43:19,dallE_generator_image,s_and_p_processor_image,umm_maybe_evaluator_image,image,30,9,10,0,11
2024-01-08 06:45:31,dallE_generator_image,s_and_p_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-08 06:46:38,dallE_generator_image,s_and_p_processor_image,nahrawy_evaluator_image,image,30,3,13,14,0
2024-01-08 06:47:59,dallE_generator_image,speckle_processor_image,umm_maybe_evaluator_image,image,30,12,10,0,8
2024-01-08 06:50:10,dallE_generator_image,speckle_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-08 06:51:18,dallE_generator_image,speckle_processor_image,nahrawy_evaluator_image,image,30,3,19,8,0
2024-01-08 06:52:48,dallE_generator_image,naive_processor_image-poisson_processor_image,umm_maybe_evaluator_image,image,30,12,10,0,8
2024-01-08 06:54:59,dallE_generator_image,naive_processor_image-poisson_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-08 06:56:09,dallE_generator_image,naive_processor_image-poisson_processor_image,nahrawy_evaluator_image,image,30,3,19,8,0
2024-01-08 06:57:36,dallE_generator_image,naive_processor_image-s_and_p_processor_image,umm_maybe_evaluator_image,image,30,10,10,0,10
2024-01-08 06:59:48,dallE_generator_image,naive_processor_image-s_and_p_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-08 07:00:57,dallE_generator_image,naive_processor_image-s_and_p_processor_image,nahrawy_evaluator_image,image,30,3,13,14,0
2024-01-08 07:02:16,dallE_generator_image,naive_processor_image-speckle_processor_image,umm_maybe_evaluator_image,image,30,11,10,0,9
2024-01-08 07:04:28,dallE_generator_image,naive_processor_image-speckle_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-08 07:05:36,dallE_generator_image,naive_processor_image-speckle_processor_image,nahrawy_evaluator_image,image,30,3,19,8,0
2024-01-08 07:07:02,dallE_generator_image,poisson_processor_image-s_and_p_processor_image,umm_maybe_evaluator_image,image,30,10,10,0,10
2024-01-08 07:09:13,dallE_generator_image,poisson_processor_image-s_and_p_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-08 07:10:21,dallE_generator_image,poisson_processor_image-s_and_p_processor_image,nahrawy_evaluator_image,image,30,3,12,15,0
2024-01-08 07:11:42,dallE_generator_image,poisson_processor_image-speckle_processor_image,umm_maybe_evaluator_image,image,30,14,10,0,6
2024-01-08 07:13:53,dallE_generator_image,poisson_processor_image-speckle_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-08 07:15:00,dallE_generator_image,poisson_processor_image-speckle_processor_image,nahrawy_evaluator_image,image,30,3,19,8,0
2024-01-08 07:16:21,dallE_generator_image,s_and_p_processor_image-speckle_processor_image,umm_maybe_evaluator_image,image,30,13,10,0,7
2024-01-08 07:18:33,dallE_generator_image,s_and_p_processor_image-speckle_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-08 07:19:40,dallE_generator_image,s_and_p_processor_image-speckle_processor_image,nahrawy_evaluator_image,image,30,3,19,8,0
2024-01-08 07:21:06,dallE_generator_image,naive_processor_image-poisson_processor_image-s_and_p_processor_image,umm_maybe_evaluator_image,image,30,9,10,0,11
2024-01-08 07:23:17,dallE_generator_image,naive_processor_image-poisson_processor_image-s_and_p_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-08 07:24:25,dallE_generator_image,naive_processor_image-poisson_processor_image-s_and_p_processor_image,nahrawy_evaluator_image,image,30,3,12,15,0
2024-01-08 07:25:45,dallE_generator_image,naive_processor_image-poisson_processor_image-speckle_processor_image,umm_maybe_evaluator_image,image,30,13,10,0,7
2024-01-08 07:27:56,dallE_generator_image,naive_processor_image-poisson_processor_image-speckle_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
