current_date_time,pipeline_generator,pipeline_processors,pipeline_evaluator,text_or_image,runs,human_human,ai_ai,ai_human,human_ai
2024-01-09 09:04:05,stable_diffusion_generator_image,naive_processor_image,umm_maybe_evaluator_image,image,100,13,58,2,27
2024-01-09 09:11:12,stable_diffusion_generator_image,naive_processor_image,resnet18_evaluator_image,image,100,0,100,0,0
2024-01-09 09:14:49,stable_diffusion_generator_image,naive_processor_image,nahrawy_evaluator_image,image,100,4,54,6,36
2024-01-09 09:18:46,stable_diffusion_generator_image,poisson_processor_image,umm_maybe_evaluator_image,image,100,39,59,1,1
2024-01-09 09:25:52,stable_diffusion_generator_image,poisson_processor_image,resnet18_evaluator_image,image,100,0,100,0,0
2024-01-09 09:29:29,stable_diffusion_generator_image,poisson_processor_image,nahrawy_evaluator_image,image,100,39,56,4,1
2024-01-09 09:33:14,stable_diffusion_generator_image,s_and_p_processor_image,umm_maybe_evaluator_image,image,100,32,58,2,8
2024-01-09 09:40:16,stable_diffusion_generator_image,s_and_p_processor_image,resnet18_evaluator_image,image,100,0,100,0,0
2024-01-09 09:43:59,stable_diffusion_generator_image,s_and_p_processor_image,nahrawy_evaluator_image,image,100,4,52,8,36
2024-01-09 09:47:50,stable_diffusion_generator_image,speckle_processor_image,umm_maybe_evaluator_image,image,100,39,58,2,1
2024-01-09 09:54:54,stable_diffusion_generator_image,speckle_processor_image,resnet18_evaluator_image,image,100,0,100,0,0
2024-01-09 09:58:34,stable_diffusion_generator_image,speckle_processor_image,nahrawy_evaluator_image,image,100,38,57,3,2

