current_date_time,pipeline_generator,pipeline_processors,pipeline_evaluator,text_or_image,runs,human_human,ai_ai,ai_human,human_ai
2024-01-09 18:11:24,stable_diffusion_generator_image,gaussian_processor_image,umm_maybe_evaluator_image,image,30,0,29,1,0
2024-01-09 18:13:30,stable_diffusion_generator_image,gaussian_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-09 18:13:59,stable_diffusion_generator_image,gaussian_processor_image,nahrawy_evaluator_image,image,30,4,24,1,1
2024-01-09 18:14:53,stable_diffusion_generator_image,poisson_processor_image,umm_maybe_evaluator_image,image,30,0,29,1,0
2024-01-09 18:16:56,stable_diffusion_generator_image,poisson_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-09 18:17:23,stable_diffusion_generator_image,poisson_processor_image,nahrawy_evaluator_image,image,30,5,25,0,0
2024-01-09 18:18:11,stable_diffusion_generator_image,s_and_p_processor_image,umm_maybe_evaluator_image,image,30,0,29,1,0
2024-01-09 18:20:14,stable_diffusion_generator_image,s_and_p_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-09 18:20:41,stable_diffusion_generator_image,s_and_p_processor_image,nahrawy_evaluator_image,image,30,5,24,1,0
2024-01-09 18:21:29,stable_diffusion_generator_image,speckle_processor_image,umm_maybe_evaluator_image,image,30,0,29,1,0
2024-01-09 18:23:32,stable_diffusion_generator_image,speckle_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-09 18:23:59,stable_diffusion_generator_image,speckle_processor_image,nahrawy_evaluator_image,image,30,5,25,0,0
2024-01-09 18:24:54,stable_diffusion_generator_image,gaussian_processor_image-poisson_processor_image,umm_maybe_evaluator_image,image,30,0,29,1,0
2024-01-09 18:26:57,stable_diffusion_generator_image,gaussian_processor_image-poisson_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-09 18:27:25,stable_diffusion_generator_image,gaussian_processor_image-poisson_processor_image,nahrawy_evaluator_image,image,30,5,25,0,0
2024-01-09 18:28:17,stable_diffusion_generator_image,gaussian_processor_image-s_and_p_processor_image,umm_maybe_evaluator_image,image,30,0,29,1,0
2024-01-09 18:30:19,stable_diffusion_generator_image,gaussian_processor_image-s_and_p_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-09 18:30:46,stable_diffusion_generator_image,gaussian_processor_image-s_and_p_processor_image,nahrawy_evaluator_image,image,30,4,23,2,1
2024-01-09 18:31:38,stable_diffusion_generator_image,gaussian_processor_image-speckle_processor_image,umm_maybe_evaluator_image,image,30,0,29,1,0
2024-01-09 18:33:40,stable_diffusion_generator_image,gaussian_processor_image-speckle_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-09 18:34:07,stable_diffusion_generator_image,gaussian_processor_image-speckle_processor_image,nahrawy_evaluator_image,image,30,5,24,1,0
2024-01-09 18:35:01,stable_diffusion_generator_image,poisson_processor_image-s_and_p_processor_image,umm_maybe_evaluator_image,image,30,0,29,1,0
2024-01-09 18:37:00,stable_diffusion_generator_image,poisson_processor_image-s_and_p_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-09 18:37:27,stable_diffusion_generator_image,poisson_processor_image-s_and_p_processor_image,nahrawy_evaluator_image,image,30,5,24,1,0
2024-01-09 18:38:21,stable_diffusion_generator_image,poisson_processor_image-speckle_processor_image,umm_maybe_evaluator_image,image,30,0,29,1,0
2024-01-09 18:40:19,stable_diffusion_generator_image,poisson_processor_image-speckle_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-09 18:40:44,stable_diffusion_generator_image,poisson_processor_image-speckle_processor_image,nahrawy_evaluator_image,image,30,4,25,0,1
2024-01-09 18:41:35,stable_diffusion_generator_image,s_and_p_processor_image-speckle_processor_image,umm_maybe_evaluator_image,image,30,0,29,1,0
2024-01-09 18:43:33,stable_diffusion_generator_image,s_and_p_processor_image-speckle_processor_image,resnet18_evaluator_image,image,30,0,30,0,0
2024-01-09 18:43:59,stable_diffusion_generator_image,s_and_p_processor_image-speckle_processor_image,nahrawy_evaluator_image,image,30,4,24,1,1
2024-01-09 18:44:54,stable_diffusion_generator_image,gaussian_processor_image-poisson_processor_image-s_and_p_processor_image,umm_maybe_evaluator_image,image,30,0,29,1,0
